vehical_name,Registration Year ,Insurance ,Fuel Type ,Seats ,Kms Driven ,RTO ,Ownership ,Engine Displacement ,Transmission ,Year of Manufacture ,Engine ,Power ,Transmission ,Drive Type ,Mileage ,Fuel ,new_vehical_price,vehical_price,other_features
2017 Audi Q3 30 TDI,Aug 2017,Comprehensive,Diesel,5 Seats,"90,000 Kms",Bangalore,First Owner,1968 cc,Manual,2017,1968 cc,138.13 bhp,Manual,FWD,,Diesel,New Car Price ₹36.46 Lakh,₹21.50 Lakh Make Your Offer,['Powered Front Seats']
2016 Mahindra XUV500 R W10 FWD,Jun 2016,Comprehensive,Diesel,7 Seats,"67,000 Kms",Bangalore,Second Owner,2179 cc,Manual,2016,2179 cc,140 bhp,Manual,FWD,16 kmpl,,New Car Price ₹21.38 Lakh,₹11.50 Lakh Make Your Offer,"['Powered Front Seats', 'Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Cruise Control']"
2015 Ford Ecosport 1.5 DV5 MT Trend,Nov 2015,-,Diesel,5 Seats,"87,000 Kms",Mysore,Second Owner,1498 cc,Manual,2015,1498 cc,89.84 bhp,Manual,FWD,22.7 kmpl,,New Car Price ₹10.44 Lakh,₹5.50 Lakh Make Your Offer,[]
2017 Maruti Swift Dzire ZXI Plus,Jan 2018,Comprehensive,Petrol,5 Seats,"57,000 Kms",Kolar,First Owner,1197 cc,Manual,2017,1197 cc,81.80 bhp,Manual,,21.21 kmpl,Petrol,New Car Price ₹9.86 Lakh,₹6.75 Lakh Make Your Offer,"['Engine Start/Stop Button', 'Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2018 Maruti Baleno 1.2 Delta,Jul 2018,Comprehensive,Petrol,5 Seats,"77,000 Kms",Bangalore,First Owner,1197 cc,Manual,2018,1197 cc,83.1 bhp,Manual,,21.4 kmpl,Petrol,New Car Price ₹7.59 Lakh,₹6.25 Lakh Make Your Offer,['Automatic Climate Control']
2022 Maruti Ertiga ZXI Plus,Jan 2022,Comprehensive,Petrol,7 Seats,"40,000 Kms",Bangalore,First Owner,1462 cc,Manual,2022,1462 cc,103.26 bhp,Manual,,19.01 kmpl,Petrol,New Car Price ₹12.45 Lakh,₹11.75 Lakh Make Your Offer,"['Touchscreen', 'Parking Sensors', 'Automatic Climate Control', 'Rear AC Vents', 'Rear Seat Armrest', 'Tumble Fold Seats', 'Rear Camera']"
2017 Honda WR-V i-DTEC VX,Dec 2017,Comprehensive,Diesel,5 Seats,"45,000 Kms",Bangalore,First Owner,1498 cc,Manual,2017,1498 cc,98.6 bhp,Manual,FWD,25.5 kmpl,,New Car Price ₹12.71 Lakh,₹8.75 Lakh Make Your Offer,"['Automatic Climate Control', 'Air Purifier', 'Parking Sensors', 'Cruise Control']"
2019 Volkswagen Polo Cup Edition Comfortline,Jul 2019,Comprehensive,Petrol,5 Seats,"52,000 Kms",Bangalore,First Owner,999 cc,Manual,2019,999 cc,75 bhp,Manual,,18.78 kmpl,Petrol,New Car Price ₹7.89 Lakh,₹7.35 Lakh Make Your Offer,['Lane Change Indicator']
2016 Mahindra XUV500 R W10 FWD,Jan 2017,Comprehensive,Diesel,7 Seats,"42,000 Kms",Bangalore,First Owner,2179 cc,Manual,2016,,,Manual,,,,New Car Price ₹21.38 Lakh,₹12.50 Lakh Make Your Offer,[]
2011 Maruti Swift VDI,Dec 2011,Comprehensive,Diesel,5 Seats,"1,03,000 Kms",Hassan,Third Owner,1248 cc,Manual,2011,1248 cc,74 bhp,Manual,,22.9 kmpl,Diesel,New Car Price ₹7.57 Lakh,₹4.40 Lakh Make Your Offer,[]
2019 Mahindra XUV300 W6 Diesel BSIV,May 2019,-,Diesel,5 Seats,"71,000 Kms",Bangalore,First Owner,1497 cc,Manual,2019,1497 cc,115 bhp,Manual,FWD,20 kmpl,,New Car Price ₹11.30 Lakh,₹9 Lakh Make Your Offer,[]
2022 Tata Harrier XZA Plus AT BSVI,Jun 2022,Comprehensive,Diesel,5 Seats,"78,000 Kms",Mysore,First Owner,1956 cc,Automatic,2022,,,Automatic,,,,New Car Price ₹28.51 Lakh,₹19 Lakh Make Your Offer,[]
2024 Volkswagen Virtus Highline AT,Jan 2024,Comprehensive,Petrol,5 Seats,"8,500 Kms",Bangalore,First Owner,999 cc,Automatic,2024,,,Automatic,,,,New Car Price ₹18.78 Lakh,₹15.50 Lakh Make Your Offer,[]
2017 Hyundai i20 Asta 1.2,Jan 2018,Comprehensive,Petrol,5 Seats,"58,000 Kms",Bangalore,First Owner,1197 cc,Manual,2017,,,Manual,,,,New Car Price ₹8.83 Lakh,₹6.50 Lakh Make Your Offer,[]
2022 Toyota Fortuner 4X2 Diesel,Feb 2022,Comprehensive,Diesel,7 Seats,"40,000 Kms",Bangalore,Second Owner,2755 cc,Manual,2022,,,Manual,,,,New Car Price ₹46.11 Lakh,₹38.50 Lakh Make Your Offer,[]
2004 Hyundai Santro Xing Base,Dec 2004,Comprehensive,Petrol,5 Seats,"55,000 Kms",Bangalore,Second Owner,1086 cc,Manual,2004,,,Manual,,,,New Car Price ₹3.97 Lakh,₹1.65 Lakh Make Your Offer,[]
2015 Renault KWID RXT,Nov 2015,Comprehensive,Petrol,5 Seats,"1,38,000 Kms",Bangalore,First Owner,799 cc,Manual,2015,,,Manual,,,,New Car Price ₹4.52 Lakh,₹2.80 Lakh Make Your Offer,[]
2015 Audi A6 35 TDI Technology,Feb 2016,Comprehensive,Diesel,5 Seats,"93,000 Kms",Bangalore,First Owner,1968 cc,Automatic,2015,,,Automatic,,,,New Car Price ₹67.26 Lakh,₹23 Lakh Make Your Offer,[]
2013 Toyota Innova 2.5 VX (Diesel) 7 Seater,Oct 2013,-,Diesel,7 Seats,"1,54,000 Kms",Bangalore,First Owner,2494 cc,Manual,2013,2494 cc,100 bhp,Manual,,,Diesel,New Car Price ₹17.68 Lakh,₹12.50 Lakh Make Your Offer,"['Parking Sensors', 'Automatic Climate Control', 'Rear AC Vents']"
2019 Maruti Ciaz Delta 1.5,Nov 2019,Comprehensive,Diesel,5 Seats,"35,000 Kms",Madikeri,First Owner,1498 cc,Manual,2019,1498 cc,93.87 bhp,Manual,,26.32 kmpl,Diesel,New Car Price ₹11.86 Lakh,₹7.65 Lakh Make Your Offer,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2015 Hyundai i20 Active 1.4 S,Oct 2015,Comprehensive,Diesel,5 Seats,"76,000 Kms",Bangalore,First Owner,1396 cc,Manual,2015,1396 cc,88.73 bhp,Manual,,21.19 kmpl,Diesel,New Car Price ₹10.43 Lakh,₹6.40 Lakh Make Your Offer,"['Rear AC Vents', 'Lane Change Indicator', 'Rear Camera']"
2012 Maruti Swift LDI,May 2012,Comprehensive,Diesel,5 Seats,"1,15,000 Kms",Bangalore,Second Owner,1248 cc,Manual,2012,1248 cc,74 bhp,Manual,,22.9 kmpl,Diesel,New Car Price ₹6.64 Lakh,₹4.35 Lakh Make Your Offer,"['Central Locking', 'Air Conditioner', 'Digital Odometer']"
2015 Hyundai Creta 1.6 CRDi AT SX Plus,Nov 2015,Comprehensive,Diesel,5 Seats,"1,09,000 Kms",Bangalore,Second Owner,1582 cc,Automatic,2015,1582 cc,126.2 bhp,Automatic,FWD,17.01 kmpl,,New Car Price ₹18.11 Lakh,₹8.65 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control']"
2013 Hyundai i10 Asta,Jun 2013,-,Petrol,5 Seats,"60,000 Kms",Bangalore,First Owner,1197 cc,Manual,2013,1197 cc,78.9 bhp,Manual,,20.36 kmpl,Petrol,New Car Price ₹6.72 Lakh,₹3.95 Lakh Make Your Offer,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Digital Odometer', 'Bluetooth Connectivity', 'Steering Mounted Controls']"
2024 Mahindra Thar ROXX AX7L 4WD Diesel AT,Nov 2024,Comprehensive,Diesel,5 Seats,"16,000 Kms",Tumkur,First Owner,2184 cc,Automatic,2024,2184 cc,172 bhp,Automatic,4WD,15.2 kmpl,Diesel,New Car Price ₹29.47 Lakh,₹27.50 Lakh Make Your Offer,"['Ventilated Seats', 'Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Drive Modes', 'Cruise Control', 'Blind Spot Camera', '360 Degree Camera', 'Sunroof', 'ADAS']"
2011 Hyundai Verna 1.6 SX VTVT AT,Jan 2012,-,Petrol,5 Seats,"58,000 Kms",Bangalore,First Owner,1591 cc,Automatic,2011,1591 cc,121.3 bhp,Automatic,,15.74 kmpl,Petrol,New Car Price ₹11.92 Lakh,₹4.50 Lakh Make Your Offer,"['Automatic Climate Control', 'Parking Sensors']"
2018 Maruti Ignis 1.3 Delta,Feb 2018,Comprehensive,Diesel,5 Seats,"44,000 Kms",Hubli,First Owner,1248 cc,Manual,2018,,,Manual,,,,New Car Price ₹7.74 Lakh,₹5 Lakh Make Your Offer,[]
2023 Mahindra Thar LX Hard Top Diesel,Jan 2024,Comprehensive,Diesel,4 Seats,"16,000 Kms",Mysore,First Owner,2184 cc,Manual,2023,2184 cc,130.07 bhp,Manual,4WD,9 kmpl,,New Car Price ₹19.92 Lakh,₹17.50 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Cruise Control']"
2019 Mahindra XUV300 W8 Option Diesel BSIV,Feb 2020,Comprehensive,Diesel,5 Seats,"39,000 Kms",Bangalore,First Owner,1497 cc,Manual,2019,1497 cc,115 bhp,Manual,FWD,20 kmpl,,New Car Price ₹14.89 Lakh,₹10 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Automatic Climate Control', 'Cruise Control']"
2020 Kia Sonet HTX Turbo iMT BSVI,Dec 2020,-,Petrol,5 Seats,"33,000 Kms",Kolkata,First Owner,998 cc,Manual,2020,998 cc,118.36 bhp,Manual,FWD,18.2 kmpl,Petrol,New Car Price ₹13.19 Lakh,₹7.68 Lakh Make Your Offer,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors', 'Cruise Control']"
2017 BMW X1 xDrive 20d xLine,Mar 2017,-,Diesel,5 Seats,"64,000 Kms",Kolkata,First Owner,1995 cc,Automatic,2017,,,Automatic,,,,New Car Price ₹42.78 Lakh,₹14.50 Lakh Make Your Offer,[]
2021 Skoda Kushaq 1.5 TSI Style DSG,Jan 2022,Comprehensive,Petrol,5 Seats,"27,000 Kms",Kolkata,First Owner,1498 cc,Automatic,2021,,,Automatic,,,,New Car Price ₹22.82 Lakh,₹12.50 Lakh Make Your Offer,[]
2017 Maruti Ignis 1.2 Zeta BSIV,Sept 2017,Comprehensive,Petrol,5 Seats,"50,000 Kms",Kolkata,First Owner,1197 cc,Manual,2017,,,Manual,,,,New Car Price ₹6.79 Lakh,₹3.75 Lakh Make Your Offer,[]
2022 MG Astor Savvy CVT Red BSVI,Mar 2022,-,Petrol,5 Seats,"38,000 Kms",Kolkata,First Owner,1498 cc,Automatic,2022,,,Automatic,,,,New Car Price ₹19.74 Lakh,₹11.60 Lakh Make Your Offer,[]
2016 Ford Figo 1.2P Ambiente MT,Dec 2016,-,Petrol,5 Seats,"55,000 Kms",Kolkata,First Owner,1196 cc,Manual,2016,,,Manual,,,,New Car Price ₹6.75 Lakh,₹2.35 Lakh Make Your Offer,[]
2022 Maruti XL6 Alpha Plus AT BSVI,2022,Zero Dep,Petrol,6 Seats,"20,000 Kms",220B,First Owner,1462 cc,Automatic,2022,,,Automatic,,,,New Car Price ₹16.94 Lakh,₹11.15 Lakh ,[]
2018 Maruti Vitara Brezza VDi AMT,Jan 2019,Comprehensive,Diesel,5 Seats,"34,518 Kms",Howrah,First Owner,1248 cc,Automatic,2018,,,Automatic,,,,New Car Price ₹10.38 Lakh,₹6.25 Lakh Make Your Offer,[]
2023 Kia Seltos GTX Plus Diesel AT,Apr 2023,Comprehensive,Diesel,5 Seats,"23,000 Kms",Kolkata,First Owner,1493 cc,Automatic,2023,,,Automatic,,,,New Car Price ₹22.36 Lakh,₹14.75 Lakh Make Your Offer,[]
2016 Honda Jazz 1.5 VX i DTEC,Jul 2016,-,Diesel,5 Seats,"56,000 Kms",Kolkata,First Owner,1498 cc,Manual,2016,,,Manual,,,,New Car Price ₹10.78 Lakh,₹3.21 Lakh Make Your Offer,[]
2022 Kia Carnival Limousine,2022,-,Diesel,7 Seats,"10,000 Kms",Kolkata,First Owner,2199 cc,Automatic,2022,,,Automatic,,,,New Car Price ₹38.76 Lakh,₹35 Lakh ,[]
2023 Kia Carens Prestige Plus iMT BSVI,May 2023,-,Petrol,7 Seats,"25,000 Kms",Kolkata,First Owner,1482 cc,Automatic,2023,1482 cc,157.81 bhp,Automatic,,,Petrol,New Car Price ₹17.04 Lakh,₹13.95 Lakh Make Your Offer,"['Touchscreen', 'Parking Sensors', 'Automatic Climate Control', 'Rear AC Vents', 'Rear Charging Sockets', 'Tumble Fold Seats', 'Cruise Control', 'Rear Camera']"
2019 Kia Seltos GTX Plus,2019,-,Petrol,5 Seats,"80,000 Kms",Bangalore,Third Owner,1353 cc,Manual,2019,1353 cc,138.08 bhp,Manual,FWD,16.5 kmpl,Petrol,New Car Price ₹21.27 Lakh,₹10.30 Lakh ,"['Powered Front Seats', 'Ventilated Seats', 'Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Cruise Control', '360 Degree Camera']"
2024 Hyundai Creta SX Tech iVT,2024,-,Petrol,5 Seats,"30,000 Kms",Bangalore,First Owner,1497 cc,Automatic,2024,1497 cc,113.18 bhp,Automatic,FWD,17.7 kmpl,,New Car Price ₹21.52 Lakh,₹19.50 Lakh ,"['Height Adjustable Driver Seat', 'Automatic Climate Control', 'Drive Modes', 'Cruise Control', 'Sunroof', 'ADAS']"
2013 Hyundai Grand i10 CRDi Era,Jan 2014,Comprehensive,Diesel,5 Seats,"35,000 Kms",Alipore,Second Owner,1120 cc,Manual,2013,1120 cc,70 bhp,Manual,,24 kmpl,Diesel,New Car Price ₹6.67 Lakh,₹2.10 Lakh Make Your Offer,"['Air Conditioner', 'Digital Odometer']"
2017 Datsun RediGO 1.0 T Option,Jul 2017,Comprehensive,Petrol,5 Seats,"46,000 Kms",Howrah,First Owner,999 cc,Manual,2017,,,Manual,,,,New Car Price ₹4.67 Lakh,₹1.65 Lakh Make Your Offer,[]
2023 Renault Triber RXL BSVI,Nov 2023,-,Petrol,7 Seats,"14,200 Kms",Howrah,First Owner,999 cc,Manual,2023,999 cc,71.01 bhp,Manual,,20 kmpl,Petrol,New Car Price ₹8.09 Lakh,₹5.69 Lakh Make Your Offer,"['Parking Sensors', 'Tumble Fold Seats']"
2016 Audi Q3 35 TDI Quattro Premium,2016,Third Party,Diesel,5 Seats,"60,000 Kms",Kolkata,Third Owner,1968 cc,Automatic,2016,1968 cc,174.33 bhp,Automatic,AWD,,Diesel,New Car Price ₹41.24 Lakh,₹15 Lakh ,['Powered Front Seats']
2017 Honda City i DTec VX,Aug 2017,Comprehensive,Diesel,5 Seats,"46,000 Kms",Kolkata,First Owner,1498 cc,Manual,2017,1498 cc,98.6 bhp,Manual,,26 kmpl,Diesel,New Car Price ₹14.64 Lakh,₹5.25 Lakh Make Your Offer,"['Leather Seats', 'Height Adjustable Driver Seat', 'Automatic Climate Control', 'Air Purifier']"
2022 Kia Carens Luxury Plus 6STR Diesel BSVI,2022,-,Diesel,6 Seats,"90,000 Kms",Kolkata,First Owner,1493 cc,Manual,2022,1493 cc,114.41 bhp,Manual,,,Diesel,New Car Price ₹20.20 Lakh,₹10.90 Lakh ,"['Engine Start/Stop Button', 'Cruise Control', 'Automatic Climate Control', 'Rear AC Vents', 'Rear Charging Sockets', 'Tumble Fold Seats']"
2023 MG Hector 1.5 Turbo Savvy Pro CVT BSVI,Jul 2023,Comprehensive,Petrol,5 Seats,"6,756 Kms",barrackpore,First Owner,1451 cc,Automatic,2023,1451 cc,141 bhp,Automatic,FWD,12.34 kmpl,,New Car Price ₹25.46 Lakh,₹17.95 Lakh Make Your Offer,"['Powered Front Seats', 'Ventilated Seats', 'Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Drive Modes', 'Cruise Control', '360 Degree Camera']"
2016 Maruti Ertiga SHVS VDI,Jun 2016,Comprehensive,Diesel,7 Seats,"75,000 Kms",Kolkata,Second Owner,1248 cc,Manual,2016,1248 cc,88.5 bhp,Manual,,24.52 kmpl,Diesel,New Car Price ₹11.45 Lakh,₹5.25 Lakh Make Your Offer,"['Parking Sensors', 'Rear AC Vents', 'Rear Seat Armrest', 'Tumble Fold Seats']"
2018 Hyundai i20 1.2 Magna Executive,Nov 2018,Comprehensive,Petrol,5 Seats,"8,500 Kms",Kolkata,First Owner,1197 cc,Manual,2018,1197 cc,81.83 bhp,Manual,,18.6 kmpl,Petrol,New Car Price ₹6.94 Lakh,₹4.50 Lakh Make Your Offer,"['Central Locking', 'Air Conditioner', 'Digital Odometer']"
2015 Toyota Fortuner 4x2 Manual,Nov 2015,Third Party,Diesel,7 Seats,"65,000 Kms",Kolkata,First Owner,2982 cc,Manual,2015,,,Manual,,,,New Car Price ₹30.12 Lakh,₹13.50 Lakh Make Your Offer,[]
2020 Tata Nexon 1.5 Revotorq XZA Plus,Jan 2021,Comprehensive,Diesel,5 Seats,"43,000 Kms",Murshidabad,First Owner,1497 cc,Automatic,2020,,,Automatic,,,,New Car Price ₹13.43 Lakh,₹7.20 Lakh Make Your Offer,[]
2010 Maruti A-Star Vxi,2010,-,Petrol,5 Seats,"1,41,000 Kms",Jagdalpur,First Owner,998 cc,Manual,2010,,,Manual,,,,New Car Price ₹4.75 Lakh,₹1 Lakh ,[]
2018 Hyundai Creta 1.4 CRDi Base,2018,-,Diesel,5 Seats,"1,50,000 Kms",Jagdalpur,Third Owner,1396 cc,Manual,2018,,,Manual,,,,New Car Price ₹11.48 Lakh,₹7.50 Lakh ,[]
2012 Nissan Sunny Diesel XL,2012,-,Diesel,5 Seats,"90,000 Kms",Visakhapatnam,First Owner,1461 cc,Manual,2012,,,Manual,,,,New Car Price ₹10.10 Lakh,₹3.96 Lakh ,[]
2018 Jeep Compass 2.0 Limited Plus,Oct 2018,Comprehensive,Diesel,5 Seats,"69,000 Kms",Kolkata,Third Owner,1956 cc,Manual,2018,,,Manual,,,,New Car Price ₹26.05 Lakh,₹7.50 Lakh Make Your Offer,[]
2024 Audi Q5 Technology BSVI,Jul 2024,Comprehensive,Petrol,5 Seats,"21,235 Kms",Kolkata,First Owner,1984 cc,Automatic,2024,1984 cc,245.59 bhp,Automatic,AWD,13.47 kmpl,Petrol,New Car Price ₹77.60 Lakh,₹54 Lakh Make Your Offer,"['Powered Front Seats', 'Height Adjustable Driver Seat', 'Automatic Climate Control', 'Drive Modes']"
2014 BMW X3 xDrive30d,2014,-,Diesel,5 Seats,"1,60,000 Kms",New Delhi,First Owner,2993 cc,Automatic,2014,2993 cc,258 bhp,Automatic,4WD,,Diesel,New Car Price ₹59.05 Lakh,₹6.90 Lakh ,[]
2016 Mahindra Bolero ZLX,2016,-,Diesel,7 Seats,"1,20,000 Kms",Sundergarh,Third Owner,2523 cc,Manual,2016,2523 cc,62.1 bhp,Manual,RWD,15.96 kmpl,,New Car Price ₹10.75 Lakh,₹4 Lakh ,[]
2017 Toyota Camry Hybrid,2017,-,Petrol,5 Seats,"60,000 Kms",Kolkata,First Owner,2494 cc,Automatic,2017,2494 cc,157.7 bhp,Automatic,,19.16 kmpl,Petrol,New Car Price ₹38.71 Lakh,₹9 Lakh ,"['Leather Seats', 'Height Adjustable Driver Seat', 'Automatic Climate Control']"
2013 Tata Indica V2 LS,2013,-,Diesel,5 Seats,"1,20,000 Kms",Koraput,First Owner,1396 cc,Manual,2013,1396 cc,69 bhp,Manual,,25 kmpl,Diesel,New Car Price ₹5.87 Lakh,₹1 Lakh ,"['Air Conditioner', 'Digital Odometer']"
2024 Honda City ZX CVT,Jun 2024,-,Petrol,5 Seats,"4,400 Kms",Kolkata,First Owner,1498 cc,Automatic,2024,1498 cc,119.35 bhp,Automatic,,18.4 kmpl,Petrol,New Car Price ₹19.13 Lakh,₹14.75 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Wireless Android Auto/Apple CarPlay', 'Wireless Charger', 'Tyre Pressure Monitor', 'Sunroof', 'Automatic Climate Control', 'Voice Commands', 'Air Purifier', 'Advanced Internet Features', 'ADAS']"
2023 Renault Kiger RXT Opt,Jan 2023,Comprehensive,Petrol,5 Seats,"29,000 Kms",Murshidabad,First Owner,999 cc,Manual,2023,999 cc,71 bhp,Manual,FWD,20.5 kmpl,,New Car Price ₹9.16 Lakh,₹5.95 Lakh Make Your Offer,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2020 Maruti Baleno Delta,2020,-,Petrol,5 Seats,"40,000 Kms",Kalahandi,First Owner,1197 cc,Manual,2020,1197 cc,81.80 bhp,Manual,,21.01 kmpl,Petrol,New Car Price ₹7.95 Lakh,₹6 Lakh ,"['Automatic Climate Control', 'Android Auto/Apple CarPlay']"
2024 Hyundai Alcazar Signature 6Str DCT,Sept 2024,Comprehensive,Petrol,6 Seats,"3,000 Kms",Kolkata,First Owner,1482 cc,Automatic,2024,1482 cc,158 bhp,Automatic,FWD,18 kmpl,Petrol,New Car Price ₹24.71 Lakh,₹19.95 Lakh Make Your Offer,"['Powered Front Seats', 'Ventilated Seats', 'Height Adjustable Driver Seat', 'Automatic Climate Control', 'Cruise Control', '360 Degree Camera', 'Sunroof', 'ADAS']"
2022 Tata Nexon XZ Plus (O) Dark Edition BSVI,2022,-,Petrol,5 Seats,"42,000 Kms",Rayagada,First Owner,1199 cc,Manual,2022,1199 cc,118.36 bhp,Manual,,17.57 kmpl,Petrol,New Car Price ₹13.42 Lakh,₹10 Lakh ,"['Automatic Climate Control', 'Rear AC Vents', 'Cooled Glovebox', 'Cruise Control']"
2024 Maruti Wagon R VXI,Sept 2024,Comprehensive,Petrol,5 Seats,250 Kms,Hooghly,First Owner,998 cc,Manual,2024,998 cc,65.71 bhp,Manual,,24.35 kmpl,Petrol,New Car Price ₹7.18 Lakh,₹5.65 Lakh Make Your Offer,['Android Auto/Apple CarPlay']
2015 Maruti Wagon R VXI BS IV,Sept 2015,Third Party,Petrol,5 Seats,"33,500 Kms",Kolkata,Second Owner,998 cc,Manual,2015,,,Manual,,,,New Car Price ₹5.41 Lakh,₹2.35 Lakh Make Your Offer,[]
2012 Tata Indigo LX (TDI) BS III,2012,-,Diesel,5 Seats,"80,000 Kms",Jamshedpur,First Owner,1396 cc,Manual,2012,1396 cc,69 bhp,Manual,,19.09 kmpl,Diesel,New Car Price ₹6.23 Lakh,₹1.25 Lakh ,[]
2012 Maruti Alto K10 2010-2014 VXI,2012,-,Petrol,5 Seats,"60,000 Kms",Rayagada,Third Owner,998 cc,Manual,2012,998 cc,67.1 bhp,Manual,,20.92 kmpl,Petrol,New Car Price ₹3.67 Lakh,₹1.20 Lakh ,"['Central Locking', 'Air Conditioner']"
2013 Maruti Swift VDI,2013,-,Diesel,5 Seats,"1,20,000 Kms",Koraput,Second Owner,1248 cc,Manual,2013,1248 cc,74 bhp,Manual,,22.9 kmpl,Diesel,New Car Price ₹7.19 Lakh,₹2.75 Lakh ,[]
2021 Maruti Swift VXI,2021,-,Petrol,5 Seats,"85,000 Kms",Jagdalpur,First Owner,1197 cc,Manual,2021,1197 cc,81.80 bhp,Manual,,21.21 kmpl,Petrol,New Car Price ₹7.16 Lakh,₹5.80 Lakh ,['Android Auto/Apple CarPlay']
2015 Maruti Ciaz VXi Plus,2015,-,Petrol,5 Seats,"80,000 Kms",Raipur,Second Owner,1373 cc,Manual,2015,1373 cc,91.1 bhp,Manual,,20.73 kmpl,Petrol,New Car Price ₹9.95 Lakh,₹4 Lakh ,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2017 Hyundai Xcent 1.2 Kappa SX,2017,-,Petrol,5 Seats,"30,000 Kms",Dantewada,First Owner,1197 cc,Manual,2017,1197 cc,82 bhp,Manual,,19.1 kmpl,Petrol,New Car Price ₹7.72 Lakh,₹3.50 Lakh ,"['Rear AC Vents', 'Parking Sensors']"
2019 Renault Duster 85PS Diesel RxS,2019,-,Diesel,5 Seats,"96,000 Kms",,First Owner,1461 cc,Manual,2019,1461 cc,83.8 bhp,Manual,FWD,19.87 kmpl,,New Car Price ₹11.48 Lakh,₹6 Lakh ,[]
2019 Mahindra TUV 300 T4 Plus,2019,-,Diesel,7 Seats,"1,19,355 Kms",Baloda Bazar,Second Owner,1493 cc,Manual,2019,1493 cc,100 bhp,Manual,RWD,18.49 kmpl,,New Car Price ₹9.63 Lakh,₹5 Lakh ,[]
2014 Tata Zest Revotron 1.2T XMS,2014,-,Petrol,5 Seats,"1,05,000 Kms",Dantewada,First Owner,1193 cc,Manual,2014,1193 cc,88.7 bhp,Manual,,17.57 kmpl,Petrol,New Car Price ₹7.77 Lakh,₹2.50 Lakh ,[]
2020 Tata Harrier Camo XT Plus,2020,-,Diesel,5 Seats,"1,50,000 Kms",Jagdalpur,First Owner,1956 cc,Manual,2020,,,Manual,,,,New Car Price ₹21 Lakh,₹11.99 Lakh ,[]
2018 Honda WR-V Edge Edition i-VTEC S,2018,-,Petrol,5 Seats,"1,85,000 Kms",Raipur,First Owner,1199 cc,Manual,2018,,,Manual,,,,New Car Price ₹9.49 Lakh,₹4.60 Lakh ,[]
2018 Maruti Swift ZXI Plus,2018,-,Petrol,5 Seats,"1,50,000 Kms",Jagdalpur,First Owner,1197 cc,Manual,2018,,,Manual,,,,New Car Price ₹8.41 Lakh,₹5 Lakh ,[]
2019 Honda WR-V i-VTEC VX,2019,-,Petrol,5 Seats,"60,000 Kms",Bhubaneswar,First Owner,1199 cc,Manual,2019,,,Manual,,,,New Car Price ₹10.65 Lakh,₹8 Lakh ,[]
2021 Maruti Swift VXI BSVI,2021,-,Petrol,5 Seats,"1,00,000 Kms",Koraput,First Owner,1197 cc,Manual,2021,,,Manual,,,,New Car Price ₹7.88 Lakh,₹5.50 Lakh ,[]
2022 Hyundai Tucson GLS Diesel AT,2022,-,Diesel,5 Seats,"86,000 Kms",Raipur,First Owner,1995 cc,Automatic,2022,1995 cc,182.37 bhp,Automatic,,15.38 kmpl,Diesel,New Car Price ₹30.22 Lakh,₹18.15 Lakh ,"['Powered Front Seats', 'Automatic Climate Control', 'Drive Modes', 'Cruise Control']"
2018 Honda WR-V Edge Edition i-VTEC S,2018,-,Petrol,5 Seats,"1,71,000 Kms",Kalahandi,First Owner,1199 cc,Manual,2018,1199 cc,88.7 bhp,Manual,FWD,17.5 kmpl,,New Car Price ₹9.33 Lakh,₹4.50 Lakh ,"['Automatic Climate Control', 'Air Purifier', 'Parking Sensors']"
2022 Tata Safari XZ Plus BSVI,2022,-,Diesel,7 Seats,"40,000 Kms",Nabarangpur,First Owner,1956 cc,Manual,2022,,,Manual,,,,New Car Price ₹25.73 Lakh,₹17 Lakh ,[]
2010 Mahindra Bolero SLX,2010,-,Diesel,7 Seats,"79,000 Kms",Rayagada,First Owner,2523 cc,Manual,2010,2523 cc,,Manual,,13.6 kmpl,Diesel,New Car Price ₹7.13 Lakh,₹5 Lakh ,['Rear Seat Armrest']
2025 Tata Tiago XM,2025,-,Petrol,5 Seats,"10,000 Kms",Malkangiri,First Owner,1199 cc,Manual,2025,1199 cc,84.48 bhp,Manual,,19.01 kmpl,Petrol,New Car Price ₹6.60 Lakh,₹6 Lakh ,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Height Adjustable Driver Seat', 'Bluetooth Connectivity', 'Power Windows']"
