Model_ID,Car_Model
1264,1.5 Ti VCT MT Titanium
1265,2.0 Limited Option
1266,2.6 CRDe
1267,Accord 2.4
1268,AX5 7 Str
1269,Neo Plus
1270,VXi Opt
1271,PIK UP Extra Strong CBC 1.3T
1272,RXZ Dual Tone
1273,Signature (O) Diesel
1274,3XO MX2 Pro
1275,All-Terrain E 220
1276,SX (O) Turbo
1277,XZA Plus LUXS Dark Edition
1278,3XO AX7 L
1279,Green
1280,Platinum (O) Diesel AT
1281,2.5 GX (Diesel) 7
1282,2.5 Z Diesel 7
1283,XZ Diesel
1284,Accomplished AMT Dazzle
1285,Plus Sharp Pro CVT 7
1286,LPG Era
1287,XT Limited
1288,1.0 RXT Opt
1289,1.3 Multijet
1290,LX 4WD Convert Top AT
1291,Dzire AMT ZDI
1292,Laurin and
1293,Lxi CNG
1294,EV XZ Plus Dual
1295,M6 Plus
1296,Asta Sunroof
1297,Altis 1.8 VL
1298,XZA Plus (O)
1299,Xing XL eRLX Euro
1300,LXI Optional MT
1301,7 Seater STD
1302,SX Opt Turbo Adventure DCT
1303,XM Plus
1304,Defender 3.0 l Diesel 110 X-Dynamic
1305,Asta Turbo
1306,Aura 1.3
1307,MX
1308,Delta Automatic
1309,S7
1310,5 STR With AC Plus HTR
1311,1.05 Revotorq XZ WO
1312,Class A180
1313,Monte Carlo 1.6 MPI
1314,Accomplished Dazzle S
1315,Creative Plus S DT
1316,Climber 1.0 MT Opt
1317,1.2 MPI Highline
1318,V2 eLX
1319,Style Plus 2.0 TDI
1320,1.4 Duratorq
1321,xDrive 40i M
1322,2.0 Sharp Pro Diesel
1323,HTK Plus Diesel iMT
1324,Titanium Diesel
1325,1.0 RXT Optional AT
1326,1.4 Asta
1327,N Z4
1328,1.0 GT Line
1329,XZA Plus (O) Red Dark Diesel AT
1330,Dicor EX
1331,Dicor VX
1332,2.8 4WD AT
1333,1.4 LS
1334,Ultima 1.6 TDI
1335,Racer
1336,Aircross
1337,Hybrid Sharp MT
1338,Sharp Ivory
1339,N Z8L 6 Str Diesel AT
1340,Punto 1.3 Emotion Pack 90HP
1341,GD
1342,S (O)
1343,2.6 Turbo 7
1344,Sharp EX
1345,Camper 2WD Power
1346,2.7 2WD MT
1347,1.4 SXi
1348,R LXI DUO BS
1349,Zeta Regal
1350,1.6 MPI AT Style
1351,4X2 Diesel AT
1352,2.5 VX 7
1353,ML 250
1354,Limited Opt 4x2
1355,Estilo 1.1 LXI
1356,LPG STD BSIII 5-STR W
1357,SX IVT
1358,G AMT
1359,Estilo 1.1 LX
1360,DI DX 8
1361,1.5 Diesel Titanium Plus
1362,Neo 3 LS 10
1363,AX7 AT
1364,2.0 Litre
1365,1.6 SX CRDi
1366,1.2 LXi
1367,350
1368,Range Rover Velar R-Dynamic S
1369,Topline AT
1370,2.0L 2WD
1371,X-Line
1372,Series GT 620d M Sport
1373,1.6 CRDI SX
1374,Platinum (O) Diesel
1375,Neo 3 LT 9
1376,R LXI DUO
1377,Delta Regal
1378,AX5 7 Str Diesel
1379,1.5 TDCi Titanium Plus
1380,Flexi
1381,Vitara Zeta CNG 2
1382,Vitara Delta CNG 2
1383,VXI Optional AMT
1384,R Stingray VXI
1385,1.2 MPI Highline 16
1386,EWB
1387,Select Plus 4X2
1388,3.0 TFSI
1389,S9
1390,30 TDI quattro
1391,2.2 AT
1392,Magnific 1.5 TDI
1393,MULTIJET
1394,Super EX
1395,Hycross VX 8STR Hybrid
1396,GLS II - Euro
1397,1.5 TDCi Trend Plus
1398,Model S Diesel
1399,AT W10 1.99
1400,1.4 Magna Opt
1401,VLX 2WD AT
1402,cruiser Mid
1403,Green Vxi
1404,Sportback Technology Plus S line
1405,1.5 HTK Plus Diesel
1406,Signature Diesel 4WD AT DT
1407,Range Rover Evoque 2.0 R-Dynamic SE diesel
1408,S Turbo DCT
1409,Range Rover Evoque 2.0 S
1410,XT Rhythm
1411,Liva GD Xclusive
1412,1.6 VTVT SX Plus
1413,400d
1414,Diesel Asta Dual
1415,S10 AT
1416,IPL II 1.2 Petrol
1417,Diesel Asta
1418,Pleasure
1419,Hycross GX
1420,N-Line N8 Dual
1421,Vxi CNG
1422,ROXX AX3L RWD
1423,SX (O)
1424,cruiser Premium
1425,LX Hard Top AT
1426,1.5 TSI Monte Carlo
1427,S Turbo
1428,800 LXI Anniversary
1429,R Duo
1430,1.2 VXI
1431,MPI STD
1432,EVO 1.3
1433,XE 85
1434,R VXI Opt
1435,Vitara Delta
1436,Pure Rhythm
1437,CL 500
1438,Topline
1439,VLX
1440,A
1441,Leisure 1.6 TDI
1442,Petrol Trendline
1443,30 TDI S
1444,BlackStorm
1445,SX Executive
1446,X
1447,Commander 750
1448,K10 MusiK
1449,S3 9 Seater
1450,1.5 Revotorq XZ Plus Dual
1451,2.0 TDI AT L
1452,XZA Plus DCT
1453,Stepway 110PS RXZ
1454,Sport Anniversary
1455,2.5 G (Diesel) 8 Seater BS
1456,Prime T Plus
1457,Emotion
1458,RXL 02 Anniversary
1459,SX DT
1460,GTX Plus Turbo DCT
1461,1.6 MPI AT Ambition
1462,Crysta 2.4 VX MT 8
1463,XZ Plus (O)
1464,E MPI
1465,X VXI Option
1466,R VXI BSIII W/
1467,1.6 MPI
1468,Estilo VXI
1469,200
1470,Prestige Plus
1471,Signature Diesel
1472,C 300d
1473,Sharp Pro
1474,LX NON
1475,1.3 Turbo
1476,CLIMBER
1477,Series GT 630d M
1478,XL 9
1479,Earth Edition Diesel
1480,E6 BS
1481,W6 Diesel Sunroof
1482,Diesel XV
1483,1.5 Ti VCT AT Titanium BE
1484,Series GT Luxury
1485,CRDi SX
1486,R LX DUO
1487,Prestige Plus Turbo DCT
1488,Std.
1489,ZXi Plus AMT
1490,W8 Option Dual Tone
1491,5.0 L V8
1492,GT Plus DSG
1493,Countryman Cooper
1494,EV Fearless Plus S
1495,Cruiser 200
1496,xDrive30d Edition
1497,2.0 TDI Laurin
1498,Series GT 630d M Sport
1499,Series 320d GT Luxury
1500,xDrive 30d Design Pure Experience 7
1501,Series 730Li
1502,35 TFSI Premium
1503,Sportz CNG
1504,2 SS D1 8
1505,Creative AMT IRA
1506,Pure S
1507,XV D
1508,Gateway
1509,Fearless Plus
1510,Dzire VXI CNG
1511,Ldi
1512,i DTec VX
1513,Estilo LX
1514,100 NXT D75 K6
1515,2.0L
1516,Series 530i
1517,Expression E 200
1518,xDrive30i M
1519,2.4L 4WD
1520,LK 1.8 TSI
1521,Crysta 2.4 GX 7 STR
1522,Terra 1.4
1523,AX7L 7Str Diesel AT
1524,Urban Sport
1525,VTVT SX
1526,1.6 VTVT S
1527,Vitara Zeta Plus Hybrid CVT
1528,R LX Minor Duo
1529,Tour STD
1530,VTVT 1.6 AT SX
1531,1.2 TSI Comfortline
1532,Petrol Titanium
1533,Neo 3 10 Seats
1534,1.5 TDCi Titanium BE
1535,2.4L 2WD
1536,Ambiente 1.9
1537,Turbo XL
1538,1.2 TDI Ambition
1539,1.1 CRDi S
1540,S10 7 Seater
1541,EX 2WD
1542,XM Plus S
1543,S6 Plus 8
1544,100 NXT
1545,CRDi 1.4
1546,D2 BS
1547,LX 8
1548,EX NON
1549,EV Empowered Plus S LR AC
1550,2.0 e-VGT 2WD
1551,Muzic 1.0
1552,Legender 4x2
1553,TCDi LTZ 8
1554,300 T4 Plus
1555,Power Plus Plus AC BSIV
1556,C 200 Avantgarde Edition
1557,N Z4 AT
1558,Climber 1.0 AMT
1559,LB
1560,SX Opt Turbo Dualtone
1561,i10 CRDi SportZ
1562,2.5 G1 Diesel
1563,DUO Std
1564,S3 Plus 9
1565,S 11
1566,1.5 Petrol Titanium Plus
1567,LX 4-Str Hard Top Diesel RWD
1568,Discovery Sport TD4 HSE
1569,Class B200
1570,Signature (O) Turbo DCT 7 Seater
1571,M8
1572,1.0 MPI Highline
1573,Ambiente
1574,1.5D Ambiente
1575,1.5 Diesel Trend Plus
1576,Ultima 1.6 TDI Ambition
1577,1.2 SV i
1578,Xing XG
1579,mHAWK D70
1580,Xing AE GLS
1581,LS TDI
1582,Dzire ZXI Plus BS
1583,2.0 Anniversary Edition
1584,Acenta
1585,E250 Edition
1586,1.4 AT
1587,1.2 MPI Comfortline
1588,VXI Limited
1589,RXT AMT
1590,Exclusive E 220d
1591,W10 1.99
1592,Active S
1593,NRG XZ
1594,E4 BS
1595,Series 525d
1596,1.2 S i
1597,XZ Plus HS Dark
1598,Magna 1.2 iTech
1599,V2 DLS
1600,N Z8L 6 Str Diesel
1601,V 2
1602,RXT Turbo
1603,1.8 TSI AT L
1604,250 CDI
1605,J
1606,X-Line DCT 6
1607,Crysta 2.4 ZX 7 STR
1608,XMA AMT S
1609,Punto Active
1610,G HYBRID
1611,1.6 ZXi
1612,110PS RxZ 8
1613,R VXI AMT Opt
1614,XZA AMT
1615,Cross Country D3
1616,N-Line N8 DCT Dual Tone
1617,XM Plus S Diesel
1618,2.0 TDI AT L and
1619,5 Seater
1620,45 TFSI Premium
1621,4x2 4 Speed
1622,XZA Plus AMT Diesel
1623,VLX SE
1624,Rider 1.9 TDI
1625,new Sportz AT
1626,1.9 Highline
1627,Dzire Tour S
1628,Gold GX
1629,Legender 4x4
1630,XMA S AT
1631,2.0 TDI Premium
1632,1.6 MPI Ambition With Alloy
1633,EV Smart
1634,R Duo LX
1635,Facelift
1636,LX Hard Top MLD Diesel
1637,8 Seater
1638,E8 ABS BS
1639,LTZ 4X2
1640,RXL AMT
1641,300 Plus P4
1642,Luxury Plus Diesel AT
1643,Crysta 2.4 GX MT 8
1644,1.4 Asta Optional With
1645,2.0 Sport Plus
1646,SX Opt Connect
1647,N Line N8 turbo
1648,V2 eXeta
1649,1.5 E i
1650,LPG CARGO BSIII W
1651,1.2 TSI Highline Plus
1652,i10 Sportz
1653,7
1654,2.2 Litre
1655,Diesel Highline 2.0
1656,1.5 TDI Highline Plus AT
1657,Stile LX
1658,RXT EASY-R AMT
1659,S iMT
1660,Quadrajet 90
1661,Sport 4X4 Dual
1662,AX7L 7Str Diesel
1663,AT W8
1664,5 Seater AC CNG
1665,Magna 1.1 iTech
1666,XZA Plus S LUX Dark Edition
1667,Hybrid V
1668,5 Seater STD
1669,RXS 85PS
1670,XZ Plus DualTone Roof
1671,NRG XZA AMT
1672,Luxury Plus Diesel
1673,1.2P Trend
1674,Crysta 2.8 GX AT 8S
1675,Sport 4X2
1676,2.5 GX (Diesel) 8 Seater BS
1677,TCDi LTZ 7
1678,XXi ABS
1679,Smart Diesel MT
1680,LX 8 Str
1681,Prestige Turbo 7 Seater
1682,Prestige 7-Seater
1683,2000
1684,Punto 1.4
1685,RXT AMT Opt
1686,i10 Asta Option
1687,1.4 SXI
1688,Accomplished Plus S
1689,Creative Plus Dark Diesel
1690,Plus Anniversary
1691,Crysta Leadership
1692,2.2 Trend MT
1693,1.5 DV5 MT Titanium
1694,W6 AMT Sunroof
1695,Alpha AMT
1696,SX AT
1697,XZ Plus Kaziranga
1698,Logan 1.5 DLE
1699,Stepway 110PS RXL
1700,2.0 Night Eagle
1701,Petrol CVT Magna
1702,Cross DDiS 320
1703,Adventure Plus Dark
1704,220d 4MATIC
1705,Unknown
